"ChIJ3UzZdDUKkkYRSqF-f3v_8J4","Kamera-Galleria","Helsinki","FI",,"Eerikinkatu 46, 00180 Helsinki, Finland","4.00",NULL,NULL
"ChIJKee8y-mUC0cRSaT5SgePAEQ","Jewish Quarter","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipPNOuphEv2LbMo_HksIeqajLmgM1SvFUyeAP3QC=s1600-w500","U Staré školy, 110 00 Staré Město, Czechia","4.30",NULL,NULL
"ChIJ9wl0fPKUC0cRytWL6QbgLdE","TRAP Prague - The Exit Game","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipOSngcGAb9Yr3hA1kEqHgBdvd8lZGdPEGyystyg=s1600-w500","Jungmannova 736/12, 110 00 Nové Město, Czechia","4.70",NULL,NULL
"ChIJ8dLze-mUC0cRIh9hE_GctWU","Prague trips and tickets center","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipPZIQPWMBECK2uII3Qvu6BHhzExG5vW5-mo1LCi=s1600-w500","Czech Republic, Týnská 7, Praha, Czechia","4.20",NULL,NULL
"ChIJKee8y-mUC0cRSaT5SgePAEQ","Jewish Quarter","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipPNOuphEv2LbMo_HksIeqajLmgM1SvFUyeAP3QC=s1600-w500","U Staré školy, 110 00 Staré Město, Czechia","4.30",NULL,NULL
"ChIJ9wl0fPKUC0cRytWL6QbgLdE","TRAP Prague - The Exit Game","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipOSngcGAb9Yr3hA1kEqHgBdvd8lZGdPEGyystyg=s1600-w500","Jungmannova 736/12, 110 00 Nové Město, Czechia","4.70",NULL,NULL
"ChIJ8dLze-mUC0cRIh9hE_GctWU","Prague trips and tickets center","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipPZIQPWMBECK2uII3Qvu6BHhzExG5vW5-mo1LCi=s1600-w500","Czech Republic, Týnská 7, Praha, Czechia","4.20",NULL,NULL
"ChIJm3EbpeOUC0cRG1Kp9vh9Kw8","Prague Segway Tours","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipO79tWYYq7P6LUhE340QQUNJqWO9l5ooQ9cS_cI=s1600-w500","Maltézské nám. 479/7, 118 00 Malá Strana, Czechia","4.60",NULL,NULL
"ChIJT_DiBvSUC0cRLPuDSuKtZ-I","National Memorial to the Heroes of the Heydrich Terror","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipNaO7iyYpZqlOxNheiUK4C85vHeHqQ9GKnAziWm=s1600-w500","Resslova 9a, 120 00 Nové Město, Czechia","4.80",NULL,NULL
"ChIJVVVVVe6UC0cRlE_ETwezbc8","City sightseeing Prague Hop On - Hop off","Prague","CZ","https://lh3.googleusercontent.com/p/AF1QipMhN7NBxJuHroYd_-drwgGK7lrBkD9XXy7Q8Akn=s1600-w500","Wax Museum, City Sightseeing Desk, Celetná 15, 110 00 Staré Město, Czechia","2.90",NULL,NULL
